file_year,file_name,file_link
2016,climrbsn2016.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/4419b08f-4b1a-45fc-b88f-822bdacbe02d/download/climrbsn2016.csv
2015,climrbsn2015.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/3f028d43-384e-45ea-bfb7-ee4184e897c3/download/climrbsn2015.csv
2014,climrbsn2014.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/fac50ed4-46ef-4d42-94e7-8353fb837a4c/download/climrbsn2014.csv
2013,climrbsn2013.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/f1552fc3-393f-41a7-96b4-07c040394594/download/climrbsn2013.csv
2012,climrbsn2012.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/49bbd230-d28f-4dc0-8544-80788c8a5dfb/download/climrbsn2012.csv
2011,climrbsn2011.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/22c014a2-2ab5-43dd-869b-4d0f1a5d9987/download/climrbsn2011.csv
2010,climrbsn2010.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/3525e0ea-66da-4ea0-a884-453a725813dd/download/climrbsn2010.csv
2009,climrbsn2009.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/03f6c766-6e55-46b5-a84e-67d1504b37bc/download/climrbsn2009.csv
2008,climrbsn2008.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/8e70caeb-eb01-4660-a42a-f2665ea67b53/download/climrbsn2008.csv
2007,climrbsn2007.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/542e1888-60f0-449e-97c3-f8801b1502cc/download/climrbsn2007.csv
2006,climrbsn2006.csv,http://data.gov.ro/dataset/f649bad3-aa57-43ba-bf9e-bd8e9edde3f4/resource/70334aaa-614e-4fe7-ad67-bbe2be6d76dd/download/climrbsn2006.csv
